name,appid,genre
Ultimate Custom Night,871720,Action
Ultimate Custom Night,871720,Free to Play
Ultimate Custom Night,871720,Indie
Titanfall 2,1237970,Action
Stick Fight: The Game,674940,Action
Stick Fight: The Game,674940,Casual
Stick Fight: The Game,674940,Indie
CRSED: F.O.A.D.,884660,Action
CRSED: F.O.A.D.,884660,Free to Play
CRSED: F.O.A.D.,884660,Massively Multiplayer
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,35450,Action
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,35450,Massively Multiplayer
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,35450,Simulation
MONSTER HUNTER RISE,1446780,Action
Dishonored,205100,Action
Dishonored,205100,Adventure
The Expendabros,312990,Action
The Expendabros,312990,Adventure
The Expendabros,312990,Free to Play
The Expendabros,312990,Indie
Borderlands: The Pre-Sequel,261640,Action
Borderlands: The Pre-Sequel,261640,RPG
Enter the Gungeon,311690,Action
Enter the Gungeon,311690,Adventure
Enter the Gungeon,311690,Indie
Saints Row 2,9480,Action
Mad Max,234140,Action
Mad Max,234140,Adventure
Deep Rock Galactic,548430,Action
Getting Over It with Bennett Foddy,240720,Action
The Witcher: Enhanced Edition Director's Cut,20900,Action
The Witcher: Enhanced Edition Director's Cut,20900,RPG
Guns of Icarus Online,209080,Action
Guns of Icarus Online,209080,Adventure
Guns of Icarus Online,209080,Indie
Guns of Icarus Online,209080,Simulation
POSTAL 2,223470,Action
POSTAL 2,223470,Adventure
POSTAL 2,223470,Indie
Borderlands 3,397540,Action
Borderlands 3,397540,RPG
Forza Horizon 5,1551360,Action
Forza Horizon 5,1551360,Adventure
Forza Horizon 5,1551360,Racing
Forza Horizon 5,1551360,Simulation
Forza Horizon 5,1551360,Sports
Ori and the Will of the Wisps,1057090,Action
Arma 2,33900,Action
Arma 2,33900,Simulation
Arma 2,33900,Strategy
Conan Exiles,440900,Action
Conan Exiles,440900,Adventure
Conan Exiles,440900,Massively Multiplayer
Conan Exiles,440900,RPG
Conan Exiles,440900,Simulation
Conan Exiles,440900,Strategy
Battlefield 1,1238840,Action
Battlefield 1,1238840,Massively Multiplayer
Half-Life 2: Episode One,380,Action
Spiral Knights,99900,Action
Spiral Knights,99900,Adventure
Spiral Knights,99900,Casual
Spiral Knights,99900,Free to Play
Spiral Knights,99900,Indie
Spiral Knights,99900,Massively Multiplayer
Spiral Knights,99900,RPG
Half-Life: Alyx,546560,Action
Half-Life: Alyx,546560,Adventure
Grand Theft Auto IV: The Complete Edition,12210,Action
Grand Theft Auto IV: The Complete Edition,12210,Adventure
Block N Load,299360,Action
Block N Load,299360,Free to Play
Block N Load,299360,Massively Multiplayer
Block N Load,299360,Strategy
Call of Duty: World at War,10090,Action
