,appid,name,developer,publisher,positive,negative,avg_owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,positive_ratio,genre_Action,genre_Strategy,genre_RPG,genre_Indie,genre_Adventure,genre_Sports,genre_Simulation,genre_Early+Access,genre_Ex+Early+Access,genre_Massively,genre_Free
9544,619500,cyubeVR,Stonebrick Studios,Stonebrick Studios,801,69,150000,79,0,119,0,1499,4,0.9206896551724136,0,0,0,1,1,0,0,1,0,0,0
9545,959520,Fantasy Blacksmith,Heaven Brotherhood,GrabTheGames,756,787,150000,195,0,229,0,669,4,0.4899546338302009,0,0,0,1,0,0,1,0,0,0,0
9546,1067850,Kindergarten 2,"Con Man Games, SmashGames",SmashGames,3206,64,150000,3220,0,3218,0,749,45,0.980428134556575,0,0,0,1,1,0,0,0,0,0,0
9547,1182110,Weed Shop 3,Weed Games,Weed Games ,2791,170,150000,1254,0,1907,0,1999,150,0.9425869638635596,0,0,0,1,0,0,1,0,1,0,0
9548,690060,SORE,Bazitov Mikhail,Bazitov Mikhail,186,105,150000,19,0,19,0,0,1,0.6391752577319587,0,0,0,1,0,0,0,0,0,0,1
9549,869880,Cyanide & Happiness - Freakpocalypse (Episode 1),"Explosm, Skeleton Crew Studios",Serenity Forge,610,485,150000,184,0,338,0,799,5,0.5570776255707762,0,0,0,1,1,0,0,0,0,0,0
9550,1347030,THE CORRIDOR,Thomas Mackinnon,Thomas Mackinnon,1591,97,150000,57,0,57,0,99,1,0.9425355450236966,0,0,0,1,1,0,0,0,0,0,0
9551,80330,The Blackwell Legacy,Wadjet Eye Games,Wadjet Eye Games,1211,145,150000,177,0,243,0,149,6,0.8930678466076696,0,0,0,1,1,0,0,0,0,0,0
9552,1634150,Behind the Frame: The Finest Scenery,Silver Lining Studio,"Akupara Games, Akatsuki Taiwan Inc.",3906,165,150000,98,0,142,0,870,11,0.9594694178334562,0,0,0,1,1,0,0,0,0,0,0
9553,15500,The Wonderful End of the World,"Dejobaan Games, LLC","Dejobaan Games, LLC",474,143,150000,128,0,138,0,349,2,0.7682333873581848,0,0,0,1,0,0,0,0,0,0,0
9554,353550,House of Caravan,Rosebud Games,Senpai Studios,521,246,150000,234,0,219,0,139,0,0.6792698826597132,0,0,0,1,1,0,0,0,0,0,0
9555,375200,Sakura Fantasy,Winged Cloud,Winged Cloud,938,131,150000,241,0,233,0,249,0,0.8774555659494855,0,0,0,1,0,0,0,0,0,0,0
9556,581200,Nash Racing,Tero Lunkka,Tero Lunkka,69,89,150000,256,0,273,0,39,111,0.4367088607594936,0,0,0,1,0,0,0,0,1,0,0
9557,40420,Tidalis,"Arcen Games, LLC","Arcen Games, LLC",149,78,150000,47,0,37,0,124,0,0.6563876651982379,0,0,0,1,0,0,0,0,0,0,0
9558,300060,ADR1FT,THREE ONE ZERO,505 Games,958,770,150000,156,0,141,0,499,3,0.5543981481481481,0,0,0,1,1,0,0,0,0,0,0
9559,1221250,NORCO,Geography of Robots,Raw Fury,1319,92,150000,550,0,828,0,824,18,0.9347980155917788,0,0,0,1,1,0,0,0,0,0,0
9560,315070,Blob From Space,JosPlays,JosPlays,35,112,150000,259,0,301,0,39,16,0.238095238095238,0,0,0,1,0,0,0,0,0,0,0
9561,792040,Detective Di: The Silk Rose Murders,Nupixo Games,"Nupixo Games, WhisperGames",920,102,150000,308,0,328,0,252,3,0.9001956947162426,0,0,0,1,1,0,0,0,0,0,0
9562,204220,Snapshot,Retro Affect,Retro Affect,179,70,150000,71,0,47,0,999,0,0.7188755020080321,0,0,0,1,1,0,0,0,0,0,0
9563,257710,Max Gentlemen,The Men Who Wear Many Hats,The Men Who Wear Many Hats,754,117,150000,43,0,62,0,0,0,0.8656716417910447,0,0,0,1,0,0,0,0,0,0,1
9564,416690,Oh...Sir! Prototype,Vile Monarch,Good Shepherd Entertainment,768,75,150000,10,0,9,0,0,0,0.9110320284697508,0,0,0,1,0,0,0,0,0,0,0
9565,521340,True or False,Vladimir Maslov,Vladimir Maslov,878,432,150000,35,0,22,0,0,0,0.6702290076335878,0,0,0,1,0,0,0,0,0,0,0
9566,732810,Slipstream,ansdor,ansdor,1200,189,150000,103,0,159,0,999,2,0.8639308855291576,0,0,0,1,0,0,0,0,0,0,0
